"","pathway","genes"
"GOBP_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORT","GOBP_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORT","ABCC4,ADCY10,LRRC8A,LRRC8B,LRRC8C,LRRC8D,LRRC8E,SHOC2,SLC17A9,SLC19A1,SLC25A16,SLC25A17,SLC25A23,SLC25A24,SLC25A31,SLC25A32,SLC25A33,SLC25A36,SLC25A4,SLC25A41,SLC25A42,SLC25A47,SLC25A5,SLC25A51,SLC25A52,SLC25A53,SLC25A6,SLC33A1,SLC35B2,SLC35B3,SLC46A2"
"GOBP_NUCLEOTIDE_TRANSPORT","GOBP_NUCLEOTIDE_TRANSPORT","ABCC1,ABCC11,ABCC4,ABCC5,ABCC6,ABCD1,ADCY10,ANKH,CALHM1,CALHM2,CALHM3,CD47,CR1,EPG5,GJB1,LRRC8A,LRRC8B,LRRC8C,LRRC8D,LRRC8E,P2RX7,PANX1,SHOC2,SLC17A9,SLC19A1,SLC25A16,SLC25A17,SLC25A19,SLC25A23,SLC25A24,SLC25A25,SLC25A31,SLC25A32,SLC25A33,SLC25A36,SLC25A4,SLC25A41,SLC25A42,SLC25A47,SLC25A5,SLC25A51,SLC25A52,SLC25A53,SLC25A6,SLC33A1,SLC35B1,SLC35B2,SLC35B3,SLC46A2"
"GOBP_NUCLEUS_LOCALIZATION","GOBP_NUCLEUS_LOCALIZATION","BIN1,CAV3,CDC42,CDK9,CEP120,CLMN,DCTN1,DOCK7,DYNC1H1,FBXW11,FHOD1,HOOK3,KIF25,LMNA,LMNB1,LMNB2,MTOR,NHERF1,NTN1,NUDC,PAFAH1B1,PAX6,PCM1,SIRT1,SLIT1,SUN1,SUN2,SYNE2,SYNE3,TLK2,TMEM201,TRIM58"
"GOBP_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS","GOBP_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS","AMDHD2,CHST1,CHST2,CHST3,CHST4,CHST5,CHST6,CHST7,EXTL2,GNE,GNPDA1,GNPDA2,LARGE1,MGAT3,NAGK,NANP,OGA,RENBP"
"GOBP_N_ACETYLNEURAMINATE_CATABOLIC_PROCESS","GOBP_N_ACETYLNEURAMINATE_CATABOLIC_PROCESS","AMDHD2,GNPDA1,GNPDA2,HOGA1,NAGK,NPL,RENBP"
"GOBP_N_ACETYLNEURAMINATE_METABOLIC_PROCESS","GOBP_N_ACETYLNEURAMINATE_METABOLIC_PROCESS","AMDHD2,CMAS,GNE,GNPDA1,GNPDA2,HOGA1,NAGK,NANP,NPL,RENBP,ST3GAL1,ST6GAL1"
"GOBP_N_ACYLPHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS","GOBP_N_ACYLPHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS","ABHD4,NAAA,NAPEPLD,PLA2G4E,PLAAT1,PLAAT2,PLAAT3,PLAAT4,PLAAT5"
"GOBP_N_GLYCAN_PROCESSING","GOBP_N_GLYCAN_PROCESSING","FUT8,GANAB,GANC,GNPTAB,GNPTG,MAN1A2,MAN2A1,MAN2A2,MGAT4A,MGAT4B,PRKCSH,ST8SIA1,ST8SIA2,ST8SIA3,ST8SIA4,ST8SIA5,ST8SIA6"
"GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION","GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION","AANAT,CREBBP,EP300,KAT2B,NAA10,NAA11,NAA15,NAA16,NAA20,NAA25,NAA35,NAA50,NAA60,NAA80,SOX4"
"GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION","GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION","AANAT,CREBBP,EP300,HHAT,HHATL,KAT2B,METAP1,METAP1D,METAP2,NAA10,NAA11,NAA15,NAA16,NAA20,NAA25,NAA35,NAA50,NAA60,NAA80,NMT1,NMT2,NTMT1,NTMT2,PDF,PPM1A,PPM1B,SOX4"
"GOBP_N_TERMINAL_PROTEIN_LIPIDATION","GOBP_N_TERMINAL_PROTEIN_LIPIDATION","HHAT,HHATL,NMT1,NMT2,PPM1A,PPM1B"
"GOBP_OBSERVATIONAL_LEARNING","GOBP_OBSERVATIONAL_LEARNING","CNTNAP2,HTT,NF1,NRXN1,NRXN2,SHANK3,STRA6"
"GOBP_ODONTOBLAST_DIFFERENTIATION","GOBP_ODONTOBLAST_DIFFERENTIATION","BMP2,BMP4,CEBPB,CTNNB1,DLX3,DSPP,FAM20C,IPO7,LEF1,MAP1B,MSX1,RPTOR,SERPINE1,SMAD2,TGFB1,TUBB"
"GOBP_ODONTOGENESIS_OF_DENTIN_CONTAINING_TOOTH","GOBP_ODONTOGENESIS_OF_DENTIN_CONTAINING_TOOTH","ACVR2A,ACVR2B,ADM,AMBN,AMELX,AMELY,AMTN,ANKRD11,APCDD1,BAX,BCL11B,BCL2L11,BMP2,BMP4,BMP7,BMPR1A,BSG,CCDC154,CFTR,CNNM4,CSF1,CSF3R,CTNNA1,CTNNB1,DLX1,DLX2,DLX3,DMP1,DMRT3,DSPP,EDA,EDAR,ENAM,FAM20A,FAM20C,FGF10,FGF4,FGF8,FOXC1,FOXI3,FST,GATA6,GLI2,GLI3,HAND1,HAND2,HDAC1,HDAC2,ITGB6,JAG2,KLK4,KLK5,LAMA5,LEF1,LHX8,LRP4,MMP20,MSX1,MSX2,NECTIN1,NF2,NGFR,NKX2-3,ODAM,ODAPH,PDGFRA,PERP,PPARA,PRKCB,RELT,ROGDI,RSPO2,RUNX2,SCN10A,SCN5A,SERPINE1,SHH,SLC24A4,SLC34A1,SLC4A2,SMO,SMPD3,SOSTDC1,STIM1,TBX1,TCIRG1,TGFB1,TNC,TNFRSF11B,TP63,TRAF6,WDR72,WNT10A,WNT6"
"GOBP_OLEFINIC_COMPOUND_BIOSYNTHETIC_PROCESS","GOBP_OLEFINIC_COMPOUND_BIOSYNTHETIC_PROCESS","ADM,AKR1C3,BGLAP,BMP2,BMP5,BMP6,CACNA1H,CLCN2,CREB1,CYP11B1,CYP11B2,CYP19A1,DAB2,DGKQ,DKK3,DKKL1,EGR1,FSHB,GPRC6A,H6PD,HSD17B1,HSD17B3,LHB,PRKG1,REST,SRD5A2,STARD3,WNT4"
"GOBP_OLFACTORY_BEHAVIOR","GOBP_OLFACTORY_BEHAVIOR","ADCY3,ATP6V1B1,BBS1,CFAP69,CHD7,GJB4,LMX1A,SHANK1,TPBG,UBR3,WFS1"
"GOBP_OLFACTORY_BULB_INTERNEURON_DEVELOPMENT","GOBP_OLFACTORY_BULB_INTERNEURON_DEVELOPMENT","ARX,ATF5,ROBO1,ROBO2,SLIT1,SLIT2,SLIT3,WNT5A"
"GOBP_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION","GOBP_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION","ARX,ATF5,DLX5,ERBB4,GSX2,ROBO1,ROBO2,SALL1,SLIT1,SLIT2,SLIT3,UNCX,WNT5A"
"GOBP_OLFACTORY_LOBE_DEVELOPMENT","GOBP_OLFACTORY_LOBE_DEVELOPMENT","AGTPBP1,ARX,ATF5,ATP1A2,CHD7,CSF1R,DLX2,DLX5,EFNA2,EOMES,ERBB4,EXT1,FEZF1,FUT1,GSX2,ID2,KIF14,LHX2,LRRK2,MECP2,NR2E1,OGDH,PAX6,ROBO1,ROBO2,RPGRIP1L,SALL1,SEMA3A,SEMA7A,SKI,SLIT1,SLIT2,SLIT3,SRF,TTC8,UNCX,WNT5A,ZIC1,ZIC3"
"GOBP_OLFACTORY_NERVE_DEVELOPMENT","GOBP_OLFACTORY_NERVE_DEVELOPMENT","CHD7,CNGB1,NTRK1,PLXNA1,PLXNA3,SALL1,SLC24A4"
"GOBP_OLIGODENDROCYTE_DEVELOPMENT","GOBP_OLIGODENDROCYTE_DEVELOPMENT","ABCA2,ASCL1,ASPA,B4GALT5,B4GALT6,CERS5,CERS6,CLU,CNTN1,CNTNAP1,EIF2B1,EIF2B2,EIF2B3,EIF2B4,EIF2B5,ERCC2,FA2H,GPM6B,HDAC11,HES5,ID4,KCNJ10,LPAR1,LYN,MAG,MAL,MECP2,MED12,MIOS,MIR26A1,MOBP,MYRF,NCSTN,NKX2-2,NKX6-2,NSUN5,OLIG1,PLP1,PRDM8,PTEN,SHH,SOX10,SOX11,TENM4,TGFB1,TLR2,TPPP,WASF3,ZNF488"
"GOBP_OLIGODENDROCYTE_PROGENITOR_PROLIFERATION","GOBP_OLIGODENDROCYTE_PROGENITOR_PROLIFERATION","CDH2,EMX1,GJC2,LRP2,LYN,MIOS,PTPRZ1,SIRT2"
"GOBP_OLIGOPEPTIDE_TRANSPORT","GOBP_OLIGOPEPTIDE_TRANSPORT","ABCB9,ABCC1,ABCC4,ABCC5,CA2,CDH17,GJA1,MFSD1,MGST1,NHERF1,SLC13A3,SLC15A1,SLC15A2,SLC15A3,SLC15A4,SLC25A39,SLC25A40,SLC26A6,SLC7A11"
"GOBP_OLIGOSACCHARIDE_BIOSYNTHETIC_PROCESS","GOBP_OLIGOSACCHARIDE_BIOSYNTHETIC_PROCESS","B3GALNT1,B3GALT1,B3GALT2,B3GALT4,B3GALT5,B4GALNT2,B4GALT1,FBP1,FBP2,FUT1,FUT10,FUT2,FUT3,FUT4,FUT5,FUT6,FUT7,FUT8,FUT9,LALBA,MGAT2,MPDU1,ST3GAL2,ST3GAL3,ST3GAL4,ST3GAL6,ST6GALNAC1,ST6GALNAC5,ST6GALNAC6"
"GOBP_OLIGOSACCHARIDE_CATABOLIC_PROCESS","GOBP_OLIGOSACCHARIDE_CATABOLIC_PROCESS","CTBS,GBA3,GM2A,HEXB,LCT,MAN2B1,MAN2B2,MAN2C1,MANBA,MGAM,NEU1,NEU2,NEU3,NEU4,SI,TREH"
"GOBP_OLIGOSACCHARIDE_LIPID_INTERMEDIATE_BIOSYNTHETIC_PROCESS","GOBP_OLIGOSACCHARIDE_LIPID_INTERMEDIATE_BIOSYNTHETIC_PROCESS","ALG1,ALG10,ALG10B,ALG11,ALG12,ALG13,ALG14,ALG2,ALG3,ALG5,ALG6,ALG8,ALG9,DHDDS,DOLK,DOLPP1,DPAGT1,DPM1,MPDU1,NUS1,RFT1,SRD5A3"
"GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS","GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS","AMY1A,AMY1B,AMY1C,B3GALNT1,B3GALT1,B3GALT2,B3GALT4,B3GALT5,B4GALNT2,B4GALT1,CTBS,FBP1,FBP2,FUT1,FUT10,FUT2,FUT3,FUT4,FUT5,FUT6,FUT7,FUT8,FUT9,GAA,GAL3ST3,GAL3ST4,GANC,GBA3,GLA,GM2A,HEXB,IDUA,LALBA,LCT,MAN1B1,MAN2B1,MAN2B2,MAN2C1,MANBA,MGAM,MGAT2,MOGS,MPDU1,NAGA,NEU1,NEU2,NEU3,NEU4,NPC1,SI,ST3GAL2,ST3GAL3,ST3GAL4,ST3GAL6,ST6GAL2,ST6GALNAC1,ST6GALNAC3,ST6GALNAC4,ST6GALNAC5,ST6GALNAC6,ST8SIA1,ST8SIA2,ST8SIA3,ST8SIA4,ST8SIA5,ST8SIA6,TREH"
"GOBP_OMEGA_HYDROXYLASE_P450_PATHWAY","GOBP_OMEGA_HYDROXYLASE_P450_PATHWAY","CYP1A1,CYP1A2,CYP1B1,CYP2C19,CYP2C8,CYP2C9,CYP2U1,CYP4A11,CYP4A22,CYP4F11,CYP4F2"
"GOBP_ONCOGENE_INDUCED_CELL_SENESCENCE","GOBP_ONCOGENE_INDUCED_CELL_SENESCENCE","CDKN1A,HMGA1,HMGA2,HRAS,PML,SPI1"
"GOBP_ONE_CARBON_COMPOUND_TRANSPORT","GOBP_ONE_CARBON_COMPOUND_TRANSPORT","AQP1,AQP10,AQP11,AQP3,AQP5,AQP6,AQP7,AQP7B,AQP7P3,AQP8,AQP9,CA2,HBA1,HBA2,HBB,HBD,HBE1,HBG1,HBG2,HBZ,POU3F3,RHAG,RHBG,RHCG,SLC14A1,SLC14A2,UMOD,UPK3A"
"GOBP_ONE_CARBON_METABOLIC_PROCESS","GOBP_ONE_CARBON_METABOLIC_PROCESS","AHCY,AHCYL1,AHCYL2,ALDH1L1,ALDH1L2,CA1,CA10,CA11,CA12,CA13,CA14,CA2,CA3,CA4,CA5A,CA5B,CA5BP1,CA6,CA7,CA8,CA9,DHFR,DHFR2,DHFRP1,FPGS,GNMT,MAT1A,MAT2A,MAT2B,MTHFD1,MTHFD1L,MTHFD2,MTHFD2L,MTHFR,MTHFS,SFXN1,SFXN3,SHMT1,SHMT2,TYMS"
"GOBP_OOCYTE_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION","GOBP_OOCYTE_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION","PLD6,TDRD1,TDRD5,TDRD6,TDRD7,TDRKH"
"GOBP_OOCYTE_CONSTRUCTION","GOBP_OOCYTE_CONSTRUCTION","FUT6,PLD6,TDRD1,TDRD5,TDRD6,TDRD7,TDRKH,WDR77"
"GOBP_OOCYTE_DIFFERENTIATION","GOBP_OOCYTE_DIFFERENTIATION","ANG,ATM,AURKA,BCL2,BNC1,BRCA2,CDC25B,CTNNB1,DAZL,DCAF13,DMC1,DMRT1,EDN1,EDNRA,EHMT2,EREG,FBXO5,FIGLA,FOXL2,FOXO3,FUT6,GDF9,H3-3A,H3-3B,IGF1,INHBB,INSL3,KMT2D,LGR5,MEIOC,MOS,NPM2,NPPC,NPR2,OOSP2,PDE3A,PDE5A,PLD6,PPP2R1A,PTK2B,REC8,RXFP2,SHB,SIRT2,SOHLH1,SOHLH2,TDRD1,TDRD5,TDRD6,TDRD7,TDRKH,TRIP13,TUBB8,TUT4,TUT7,WASHC5,WDR77,WEE2,WNT4,YBX2,YTHDC2,YTHDF2,ZAR1,ZAR1L,ZFX,ZGLP1,ZP3"
"GOBP_OOCYTE_MATURATION","GOBP_OOCYTE_MATURATION","ANG,AURKA,BNC1,BRCA2,CDC25B,DAZL,DMC1,EDN1,EDNRA,EREG,FBXO5,FOXO3,H3-3A,H3-3B,INSL3,MOS,NPPC,NPR2,OOSP2,PDE3A,PPP2R1A,PTK2B,REC8,RXFP2,SHB,SIRT2,TRIP13,TUBB8,TUT4,TUT7,WASHC5,WEE2,YTHDF2,ZAR1,ZAR1L"
"GOBP_OPSONIZATION","GOBP_OPSONIZATION","C4B,C4BPA,C4BPB,CFP,COLEC10,COLEC11,CRP,FCN1,FCN2,FCN3,LBP,MBL2,MYO18A,PLA2G5,PTX3,SFTPA1,SPON2"
"GOBP_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT","GOBP_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT","ALDH1A3,PAX2,PHACTR4,SOX11,TFAP2A,WNT16,WNT5A"
"GOBP_OPTIC_NERVE_DEVELOPMENT","GOBP_OPTIC_NERVE_DEVELOPMENT","ATOH7,CHRNB2,EPHB1,EPHB2,EXT1,GLI3,KCNA1,KCNA2,KCNA3,KCNC1,KCNC2,LPAR1,NAV2,NDP,NKX2-2,PAX2,RPL24,SCN8A,SLC25A46,TCIRG1,TMEM126A"
"GOBP_OPTIC_NERVE_MORPHOGENESIS","GOBP_OPTIC_NERVE_MORPHOGENESIS","CHRNB2,EPHB1,EPHB2,GLI3,KCNA2,PAX2"
"GOBP_ORGANELLE_INHERITANCE","GOBP_ORGANELLE_INHERITANCE","CDK1,GBF1,GOLGA2,MAP2K1,MAP2K2,MAPK1,MAPK3,PDCD10,PLK1,PLK3,STK25,STX5,VCPIP1,VRK1,YWHAZ"
"GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE","GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE","ACTR10,AGBL4,AGTPBP1,AP3B1,AP3B2,AP3D1,AP3M1,AP3M2,AP3S1,AP3S2,ARHGAP21,ARMCX3,BICD1,BICD2,BICDL1,BICDL2,BLOC1S1,BLOC1S2,BLOC1S3,BLOC1S4,BLOC1S5,BLOC1S6,BORCS5,BORCS6,BORCS7,BORCS8,CDC42,CDR2L,CLN3,COPG1,COPG2,DTNBP1,DYNC1I1,FBXW11,FEZ1,FYCO1,HAP1,HDAC6,HIF1A,HSBP1,HTT,KIF13A,KIF1A,KIF1B,KIF1C,KIF28P,KIF3A,KIF3B,KIF5A,KIF5B,KIFAP3,KIFBP,KXD1,LAMP1,LRPPRC,MAP1B,MAP1S,MAP2,MAPT,MECP2,MGARP,MREG,NDE1,NDEL1,NEFH,NEFL,OPA1,PAFAH1B1,PEX14,PRKCZ,RAB1A,RAB6A,RASGRP1,RHOT1,RHOT2,SNAPIN,SPAST,STK11,SUN1,SUN2,SYBU,SYNE2,TMEM201,TRAK1,TRAK2,TRIM46,TRIM58,TUBA1A,UBB,UCHL1,UXT"
"GOBP_ORGANIC_HYDROXY_COMPOUND_CATABOLIC_PROCESS","GOBP_ORGANIC_HYDROXY_COMPOUND_CATABOLIC_PROCESS","ADH4,AKR1B10,AKR1C3,AKR1D1,ALDH1B1,ALDH2,ALDH3B1,ALDH3B2,APOE,COMT,CYP24A1,CYP27A1,CYP27B1,CYP39A1,CYP3A4,CYP46A1,CYP4A11,CYP4F12,CYP4F2,CYP4F3,CYP7A1,DBH,DIO3,FAH,FGF23,GK,GK2,GK5,GPD2,HAO1,HSD17B6,LCT,LDHD,MAOA,MAOB,MIOX,MOXD1,MOXD2P,NTSR1,NUDT3,PDE1B,PDXP,SCARB1,SCARF1,SLC6A3,SNX17,SORD,SRD5A3,SULT1A1,SULT1A2,SULT1A3,SULT1A4,SULT1B1,SULT1C4,SULT1E1,SULT2A1,TKFC,TPI1"
"GOBP_ORGANISM_EMERGENCE_FROM_PROTECTIVE_STRUCTURE","GOBP_ORGANISM_EMERGENCE_FROM_PROTECTIVE_STRUCTURE","AKAP3,ARHGDIG,ASF1B,BCOR,CCDC24,CCDC62,CMTM3,CTR9,FBLL1,HS3ST6,LPAR6,NDUFA2,NECAB1,PEMT,PHF6,PLPP4,PPP4R4,RBBP8,SLC25A34,SLC35E2B,SMARCB1,SMIM14,ST8SIA6,STMN3,TBL1XR1,ZBED6"
"GOBP_ORGAN_INDUCTION","GOBP_ORGAN_INDUCTION","AR,BMP2,BMP4,CTNNB1,DKK1,FGF1,FGF10,FGF2,FGF8,FGFR1,FRS2,GATA5,GDNF,HOXA11,HOXC11,MESP1,ROBO1,ROBO2,SIX1,SPRY1,WNT2,WNT2B"
"GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE","GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE","APOA4,BPIFB1,C17orf99,CAMP,CD160,DEFA1,DEFA1B,DEFA3,DEFA4,DEFA5,DEFA6,DEFB1,FAU,FFAR2,FFAR3,GP2,H2BC10,H2BC11,H2BC12,H2BC12L,H2BC21,H2BC4,H2BC6,H2BC7,H2BC8,IFNL2,IFNLR1,IL6,IL6R,LTF,NOD2,NOS2,OTUD7B,PIGR,PLA2G1B,RAB17,RNASE2,RNASE3,RPL39,TREX1,UMOD,XCL1"
"GOBP_ORNITHINE_METABOLIC_PROCESS","GOBP_ORNITHINE_METABOLIC_PROCESS","ALDH18A1,ARG1,ARG2,ASL,AZIN1,AZIN2,HNF4A,ODC1,OTC,SLC25A2"
"GOBP_ORNITHINE_TRANSPORT","GOBP_ORNITHINE_TRANSPORT","SLC25A15,SLC25A2,SLC25A29,SLC7A1,SLC7A2,SLC7A3,SLC7A6"
"GOBP_OSMOSENSORY_SIGNALING_PATHWAY","GOBP_OSMOSENSORY_SIGNALING_PATHWAY","ATP1A1,CASP1,NLRP3,OXSR1,PYCARD,SCN7A,TRPV4,WNK3"
"GOBP_OSTEOBLAST_DEVELOPMENT","GOBP_OSTEOBLAST_DEVELOPMENT","ACHE,BGLAP,CLEC5A,GLI2,HOXA2,JUND,LIMD1,LRP5,MEN1,MSX2,PTH1R,PTHLH,RUNX2,SATB2,SHH,SMAD3,TNN"
"GOBP_OSTEOBLAST_PROLIFERATION","GOBP_OSTEOBLAST_PROLIFERATION","ABL1,ATRAID,AXIN2,BCL2,BMP2,CCN1,CTHRC1,EIF2AK2,FGFR2,FIGNL1,GATA1,GREM1,HPSE,IFT80,IGF1R,ITGAV,ITGB3,JUNB,LRP5,LRRC17,LTF,MIR138-1,MIR675,MIR9-1,MN1,MUS81,NELL1,NF2,NPR3,OSR2,PLXNB1,RHOA,SFRP1,SMAD3,SOX8,TMEM119,TNN"
"GOBP_OSTEOCLAST_FUSION","GOBP_OSTEOCLAST_FUSION","CD109,CD81,DCSTAMP,SBNO2,SH3PXD2A,TCTA"
"GOBP_OSTEOCLAST_PROLIFERATION","GOBP_OSTEOCLAST_PROLIFERATION","CSF1,GREM1,JUNB,NMB,NMBR,NPR3,OCSTAMP,PTH,TCIRG1,TNFAIP3,TNFSF11"
"GOBP_OTIC_VESICLE_DEVELOPMENT","GOBP_OTIC_VESICLE_DEVELOPMENT","AHI1,CEP290,COL2A1,EYA1,FGF10,FGF8,FGFR2,GATA3,HESX1,PAX8,PROX1,SIX1,SOX9,STOX1,TCAP"
"GOBP_OTIC_VESICLE_FORMATION","GOBP_OTIC_VESICLE_FORMATION","CEP290,FGF10,FGF8,FGFR2,HESX1,PROX1,SOX9,TCAP"
"GOBP_OTIC_VESICLE_MORPHOGENESIS","GOBP_OTIC_VESICLE_MORPHOGENESIS","CEP290,EYA1,FGF10,FGF8,FGFR2,HESX1,PROX1,SOX9,STOX1,TCAP"
"GOBP_OTOLITH_DEVELOPMENT","GOBP_OTOLITH_DEVELOPMENT","ATG4B,ATG5,BLOC1S5,LRIG1,LRIG3,NOX3,OC90,OTOL1,SLC44A4,TTC39C"
"GOBP_OUTER_DYNEIN_ARM_ASSEMBLY","GOBP_OUTER_DYNEIN_ARM_ASSEMBLY","CCDC103,CCDC63,CLXN,DAW1,DNAAF1,DNAAF11,DNAAF2,DNAAF4,DNAAF5,DNAAF6,DNAAF8,DNAH17,DNAH5,DNAH8,DNAI1,DNAI2,DNAL1,LRRC61,NISCH,ODAD1,ODAD2,ODAD3,ODAD4,ZMYND10"
"GOBP_OUTER_EAR_MORPHOGENESIS","GOBP_OUTER_EAR_MORPHOGENESIS","EYA1,FGFR1,HOXA1,MAPK1,MAPK3,PRKRA,TBX1,TWIST1,ZIC3"
"GOBP_OUTFLOW_TRACT_MORPHOGENESIS","GOBP_OUTFLOW_TRACT_MORPHOGENESIS","ACVR1,ATF2,BMP4,BMP7,BMPR1A,BMPR2,CDC42,CITED2,CLDN5,CRKL,CTNNB1,DHRS3,DVL1,DVL2,EDN1,EDNRA,ELN,ENG,EYA1,FGF8,FGFR2,FOLR1,FOXC1,FOXC2,FOXH1,FZD1,FZD2,GATA6,GJA5,HAND2,HES1,HEY2,HEYL,HIF1A,ILK,ISL1,JAG1,LRP2,MEF2C,MIR17,MIR17HG,MIR20A,MSX2,NIPBL,NKX2-5,NOG,NOTCH1,NPY1R,NPY2R,NPY5R,NRP1,NRP2,PARVA,PITX2,PLXND1,PRICKLE1,RBPJ,ROBO1,ROBO2,RYR1,SEC24B,SEMA3C,SFRP2,SIX1,SMAD4,SMAD6,SOX11,SOX17,SOX18,TBX1,TBX2,TBX20,TBX3,TGFB2,TGFBR2,TGFBR3,TWIST1,VEGFA,WNT11,WNT5A,ZFPM1,ZFPM2"
"GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS","GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS","ACVR1,BMP4,BMPR1A,BMPR2,ENG,FGF8,FGFR2,GATA6,ISL1,LRP2,MSX2,NKX2-5,NRP1,NRP2,PARVA,ROBO1,ROBO2,SEMA3C,SMAD4,SMAD6,TBX1,TBX2,TBX20,TGFB2,TGFBR2,ZFPM2"
"GOBP_OVARIAN_FOLLICLE_DEVELOPMENT","GOBP_OVARIAN_FOLLICLE_DEVELOPMENT","AMH,ANG,ATM,BAX,BCL2,BCL2L1,BMPR1B,CEBPB,CGA,CTNNA1,DMC1,DMRTA1,EIF2B2,EIF2B4,EIF2B5,EREG,ESR1,FANCG,FOXC1,FOXL2,FOXO3,FSHB,FSHR,GAS2,GNRH1,GPR149,HYAL3,IMMP2L,INHA,INHBA,INHBB,KDR,KIT,KITLG,LFNG,LHCGR,MMP14,MMP2,MSH4,NPPC,NPR2,PCYT1B,PTX3,SCAPER,SMAD4,SOD1,SPO11,SRC,TAF4,TNFAIP6,UBE3A,UMODL1,VEGFA,VGF,ZFX,ZNF830,ZP3"
"GOBP_OVIDUCT_DEVELOPMENT","GOBP_OVIDUCT_DEVELOPMENT","C3,CSMD1,CTNNB1,ERRFI1,LHX1,WNT7A"
"GOBP_OVULATION","GOBP_OVULATION","ADAMTS1,AFP,EREG,FOXO3,GAS2,GPR149,HPGD,IMMP2L,INHBA,INHBB,LEP,MMP2,NOS3,NRIP1,PGR,SIRT1"
"GOBP_OVULATION_CYCLE","GOBP_OVULATION_CYCLE","A2M,ADAMTS1,ADNP,AFP,AMH,AXL,BMPR1B,CA12,CASP2,CASP3,CGA,CYP1B1,EGFR,EGR1,EREG,ESR1,FOXO3,FSHB,FSHR,FZD4,GABRB1,GAS2,GDF10,GDF9,GPR149,HAS2,HSPA8,IGF1R,INHBA,KISS1,LEP,LHCGR,MAP2K6,MDK,MMP2,MSTN,NCOA1,NCOR2,NHLH2,NOS3,NOTCH1,NPPC,NPR2,NPY5R,NR5A1,NRIP1,OPRK1,OPRL1,OXTR,PCNA,PDGFRA,PGR,PLEKHA1,PTN,PTPRN,PTX3,RETN,ROBO2,SCAPER,SERPINF1,SGPL1,SIRT1,SLC26A6,SLIT2,SLIT3,SRC,STAT5B,TGFB2,TGFB3,TNFAIP6,TYRO3,ZNF830,ZP3"
"GOBP_OVULATION_CYCLE_PROCESS","GOBP_OVULATION_CYCLE_PROCESS","A2M,ADAMTS1,AFP,AMH,BMPR1B,CASP2,CASP3,CGA,EREG,ESR1,FOXO3,FSHB,FSHR,FZD4,GAS2,GDF9,GPR149,INHBA,KISS1,LEP,LHCGR,MAP2K6,MMP2,MSTN,NOS3,NOTCH1,NPPC,NPR2,NPY5R,NR5A1,NRIP1,PDGFRA,PGR,PLEKHA1,PTPRN,PTX3,RETN,ROBO2,SCAPER,SGPL1,SIRT1,SLIT2,SLIT3,SRC,STAT5B,TGFB2,TGFB3,TNFAIP6,ZNF830,ZP3"
"GOBP_OVULATION_FROM_OVARIAN_FOLLICLE","GOBP_OVULATION_FROM_OVARIAN_FOLLICLE","ADAMTS1,AFP,FOXO3,LEP,MMP2,NOS3,NRIP1,PGR,SIRT1"
"GOBP_OXALATE_TRANSPORT","GOBP_OXALATE_TRANSPORT","AGXT,SLC26A1,SLC26A10P,SLC26A11,SLC26A2,SLC26A3,SLC26A4,SLC26A5,SLC26A6,SLC26A7,SLC26A8,SLC26A9"
"GOBP_OXALOACETATE_METABOLIC_PROCESS","GOBP_OXALOACETATE_METABOLIC_PROCESS","ACLY,GOT1,GOT2,MDH1,MDH1B,MDH2,NIT2,PCK1,PCK2"
"GOBP_OXIDATIVE_DEMETHYLATION","GOBP_OXIDATIVE_DEMETHYLATION","ALKBH1,CYP1A2,CYP2C8,CYP2C9,CYP2D6,CYP3A4,CYP3A43,CYP3A5,CYP3A7,JMJD6"
"GOBP_OXYGEN_METABOLIC_PROCESS","GOBP_OXYGEN_METABOLIC_PROCESS","FKRP,FMO2,LIPT2,ME3,MT3,NOX1,RNF34"
